JTC;JTTI;JTRV
1271;Zeitschrift für Pädagogische Psychologie;Alle eingereichten Beiträge werden einem anonymen Begutachtungsverfahren unterzogen ("blind peer-review")
1273;Zeitschrift für Arbeits- und Organisationspsychologie;Das Manuskript wird von einem zuständigen Herausgeber unter Heranziehung von in der Regel zwei externen Gutachten bearbeitet (Kurzberichte ein Gutachten)
1299;International Journal of Psychoanalysis;fully peer-reviewed
1323;Zeitschrift für Heilpädagogik;Hauptbeiträge werden von beiden Schriftleitern geprüft, bei kleineren Beiträgen entscheidet u.U. nur ein Schriftleiter
1326;Vierteljahresschrift für Heilpädagogik und ihre Nachbargebiete;Die eingereichten Manuskripte werden einem Peer Review-Verfahren unterzogen
1347;Nervenheilkunde;kein peer review
1405;Motivation and Emotion;peer-reviewed (double blind)
1409;Publizistik;peer-reviewed (double blind)
1433;Suizidprophylaxe;Alle eingereichten Beiträge werden im Peer Review-Verfahren begutachtet
1434;ZUMA Nachrichten;Alle zur Veröffentlichung eingereichten Beiträge werden von mindestens zwei unabhängigen Gutachtern blind begutachtet
1482;Psychologie in Österreich;Die Entscheidung über die Annahme von eingereichten Manuskripten obliegt dem Redaktionsteam
1486;Prävention;Eine Begutachtung erfolgt durch Herausgeber bzw. Mitglieder des wissenschaftlichen Beirats
1488;ZVS - Zeitschrift für Verkehrssicherheit;Artikel durchlaufen ein Peer-Review-Verfahren
1497;Psychologie & Gesellschaftskritik;Die eingereichten Manuskripte werden von den Herausgebern begutachtet
1593;Unterrichtswissenschaft;Doppelt verblindeten Reviewprozess, bei dem Reviewer und Autoren anonym bleiben sollen
1595;Zeitschrift für Individualpsychologie;double blind
1596;Frühförderung interdisziplinär;Die Beiträge werden von Fachkollegen anonym begutachtet (Peer Review)
1601;Wiener Zeitschrift für Suchtforschung;Es erfolgt eine Begutachtung durch Herausgeber/Mitglieder des wissenschaftlichen Beirats
1602;Musiktherapeutische Umschau;double blind
1606;Verhaltenstherapie und psychosoziale Praxis;Eingereichte Manuskripte können einem Peer-Review-Verfahren unterzogen werden
1607;Motorik;Beiträge in der Rubrik "Fachbeiträge aus Theorie und Praxis" werden von mindestens zwei FachkollegInnen anonym begutachtet
1608;Fortschritte der Neurologie, Psychiatrie;Es erfolgt eine Beurteilung der eingereichten Manuskripte durch Gutachter
1610;Marketing;Manuskripte durchlaufen ein doppelt blindes Begutachtungsverfahren mit zumindest zwei Rezensenten
1613;Monatsschrift für Kriminologie und Strafrechtsreform;Die eingereichten Manuskripte werden einem Peer Review-Verfahren unterzogen
1617;Zeitschrift für Arbeitswissenschaft;Wissenschaftliche Beiträge werden von zwei, Praxisbeiträge von zwei Referenten beurteilt (peer-review)
1620;Wege zum Menschen;double blind
1623;Zeitschrift für Soziologie;Eingereichte Manuskripte werden nach Aufnahme in das Reviewverfahren an zwei Fachgutachter übersendet
1624;Der Nervenarzt;Die Beiträge durchlaufen einen Peer-Review-Prozess
1625;Gestalt Theory;double-blind
1626;Zeitschrift für Differentielle und Diagnostische Psychologie;Die eingereichten Manuskripte werden einem Peer Review-Verfahren unterzogen
1630;Psychosozial;Themenschwerpunkt: je ein Gutachten Herausgebergutachten + double blind;   Freie Beiträge: double blind
1631;Analytische Psychologie;Das Manuskript wird im anonymisierten Peer-Review-Verfahren geprüft
1636;PPmP - Psychotherapie, Psychosomatik, Medizinische Psychologie;peer-reviewed (single blind)
1640;Sprache - Stimme - Gehör;Die eingereichten Manuskripte werden einem Begutachtungsverfahren unterzogen
1646;Zeitschrift für Sozialpsychologie;Die eingereichten Manuskripte werden einem externen Begutachtungsverfahren (auf Wunsch anonymisiert) unterzogen
1647;Zeitschrift für Psychologie;Alle eingereichten und potentiell geeigneten Manuskripte werden mind. zwei Fachwissenschaftlern zur Begutachtung vorgelegt
1650;Zeitschrift für Pädagogik;Die Manuskripte durchlaufen ein double-blind peer review-Verfahren durch zwei unabhängige Gutachter (ein/e Herausgeber/in, ein/e externe/r Gutachter/in), die über Annahme oder Ablehnung entscheiden
1658;Zeitschrift für Ethnologie;All articles are submitted to reviewers
1660;Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie;Das eingereichte Manuskript wird von einem zuständigen Herausgeber unter Heranziehung von in der Regel zwei externen Gutachtern bearbeitet (Kurzberichte 1 Gutachten)
1672;Sportwissenschaft;Alle Artikel der "Sportwissenschaft" unterliegen einem Begutachtungsprozess
1673;Sportunterricht;Hauptteil: die eingesandten Aufsätze werden vom Schriftleiter zur Begutachtung und ggf. redaktionellen Bearbeitung einem Mitglied des Redaktionskollegiums zugeleitet
1674;Soziale Welt;Es werden zwei Gutachten für die eingereichten Manuskripte eingeholt
1678;Report Psychologie;Peer Review-Verfahren
1679;Die Rehabilitation;Die eingereichten Manuskripte werden einem Begutachtungsverfahren unterzogen
1681;Psychologische Rundschau;peer-reviewed
1684;Psychologie in Erziehung und Unterricht;Die Beiträge werden von Fachkollegen anonym begutachtet
1689;Psyche;Eingereichte Manuskripte werden in anonymisierter Form in der Regel von drei Peer Reviewern begutachtet
1692;Praxis der Kinderpsychologie und Kinderpsychiatrie;peer-reviewed (double blind?)
1698;Linguistische Berichte;Die eingereichten Manuskripte werden einem Begutachtungsverfahren unterzogen
1699;Leistungssport;Manuskripte werden durch das Redaktionskollegium sowie bei Bedarf externe Gutachter geprüft
1703;Spiritual Care;Alle Einreichungen werden einem doppel-blinden Peer-ReviewProzess unterzogen.
1704;Kölner Zeitschrift für Soziologie und Sozialpsychologie;double-blind
1706;Integrative Therapie;Über die Annahme von Beiträgen entscheidet ein Peer-Review-Verfahren
1707;Heilpädagogische Forschung;Über die Annahme von Artikeln entscheiden die Herausgeber, Fachbeiräte und ggf. weitere Gutachter
1709;Gruppenpsychotherapie und Gruppendynamik;double blind
1715;Familiendynamik;Eingehende Manuskripte werden von mindestens zwei Reviewern beurteilt, die den Namen des Autors nicht kennen
1716;Diagnostica;peer-reviewed
1718;Bildung und Erziehung;Die eingehenden Beiträge werden einem Double-blind-peer-review-Verfahren unterzogen.
1731;Gruppendynamik und Organisationsberatung;Manuskripte des Thementeils werden durch den Editor/die Editorin und mindestens eine(n) weitere(n), von der Redaktion gewählte(n), unabhängige(n) Gutachter(in) in anonymisierter Form begutachtet, bei abweichendem Urteil wird ein dritter Gutachter hinzugezogen
1732;Suchtmedizin in Forschung und Praxis;Jede eingereichte Arbeit wird von mindestens zwei qualifizierten Gutachtern geprüft
1734;PiD - Psychotherapie im Dialog;Über die Annahme entscheidet das Herausgebergremium
1757;Balint-Journal;Es erfolgt eine Beurteilung der eingereichten Manuskripte durch Gutachter
1758;Polizei & Wissenschaft;Die Anforderung wird jeweils von der Redaktion der Zeitschrift Polizei & Wissenschaft geprüft
1761;Forum Qualitative Sozialforschung/Forum: Qualitative Social Research (Online Journal);Contributions, submitted to be published within the rubrics FQS Interviews, FQS Debates, FQS Reviews, FQS Conferences are reviewed directly by the respective rubric editors
1765;Freie Assoziation;Herausgebergutachten
1776;Zeitschrift für ArbeitsmarktForschung;Eingereichte Forschungsbeiträge werden zweifach doppelt blind begutachtet
1786;Sexuologie;Eingereichte Manuskripte werden anonymisiert beurteilt
1792;Wirtschaftspsychologie (Pabst Science Publishers);Originalbeiträge und Beiträge zu Schwerpunktthemen (praktischer und theoretischer Ausrichtung) werden nach einem Reviewprozess veröffentlicht
1797;Zeitschrift für Medienpsychologie;Das eingereichte Manuskript wird von dem geschäftsführenden Herausgeber unter Heranziehung von in der Regel zwei externen Gutachtern bearbeitet, die über Annahme, Ablehnung oder Revision entscheiden
1809;Suchttherapie;Die Manuskripte durchlaufen ein Peer-Review-Verfahren
1810;Zeitschrift für Personalpsychologie;Das Manuskript wird einem zuständigen Herausgeber unter Heranziehung von in der Regel zwei externen Gutachtern (Kurzberichte: ein Gutachten) vorgelegt
1812;Experimental Psychology;All manuscripts are peer-reviewed by two or three reviewers
1818;ergoscience;Die eingereichten Manuskripte durchlaufen ein doppelt verblindetes Peer-Review-Verfahren
1835;Zeitschrift für Anomalistik;Alle eingereichten Manuskripte unterliegen einem doppelt verblindeten, anonymisierten Peer Review-Verfahren
1851;Imagination;Die eingereichten Manuskripte werden einem Peer Review-Verfahren unterzogen
1866;L.O.G.O.S. Interdisziplinär;Das Manuskript wird von ein bis zwei Gutachtern gelesen
1870;Zeitschrift für Psychotraumatologie, Psychotherapiewissenschaft, Psychologische Medizin;Alle Manuskripte werden zwei Gutachtern zur fachlichen Stellungnahme vorgelegt
1876;Reviews in the Neurosciences;Peer review process with independent, external reviewers
1896;Psychotherapeutenjournal;Eingereichte Manuskripte werden in einem herkömmlichen Peer-Review-Verfahren durch zwei unabhängige Fachkolleginnen/-kollegen begutachtet
1923;Humor - International Journal of Humor Research;peer-review
1924;Journal of Applied Sport and Exercise Psychology;Das Manuskript wird vom geschäftsführenden Herausgeber unter Heranziehung von in der Regel zwei externen Gutachtern bearbeitet
1953;Zeitschrift für Evaluation;Alle als Originalbeitrag eingereichten Manuskripte werden einem doppelt-blinden Begutachtungsverfahren unterzogen
1963;Journal of Public Health: From Theory to Practice;Each manuscript will be reviewed by 2-3 qualified peers
1974;Psychotherapie im Alter;double blind
2003;Journal of Individual Differences;o.
2008;GMS Psycho-Social-Medicine;Nur qualitativ hochwertige Beiträge werden nach einem konsequenten Peer Review-Verfahren zur Veröffentlichung angenommen
2011;Wirtschaftspsychologie;Manuskripte durchlaufen einen Review-Prozess
2012;Forum Psychotherapeutische Praxis;Das eingereichte Manuskript wird von einem zuständigen Herausgeber unter Heranziehung von in der Regel zwei externen Gutachten bearbeitet (Kurzberichte 1 Gutachten)
2026;Current Psychology;double-blind
2040;Hypnose;Artikel durchlaufen ein Peer-Review-Verfahren
2047;Zeitschrift für Psychiatrie, Psychologie und Psychotherapie;Manuskripte werden von einem zuständigen Mitherausgeber unter Heranziehung von in der Regel zwei externen Gutachtern bearbeitet
2059;Die Psychiatrie;Über die Annahme eines Beitrages entscheidet das Schriftleitergremium
2084;Verhaltenstherapie mit Kindern & Jugendlichen;Eingereichte Manuskripte werden von mindestens zwei Mitgliedern der Redaktionskommission ausführlich begutachtet und im Hinblick auf eine Veröffentlichung von der gesamten Redaktion diskutiert
2085;NeuroGeriatrie;Alle Artikel unterliegen einem Reviewprozess
2171;Trauma & Gewalt;Über Annahme und Veröffentlichung eines Manuskriptes entscheiden die Herausgeber auf Grundlage unabhängiger Gutachten
2178;Psychiatrie und Psychotherapie up2date;Über Annahme eines Beitrags entscheidet das Herausgebergremium
2236;Zeitschrift für Psychologie / Journal of Psychology;Artikel durchlaufen einen Peer-Review-Prozess
2244;Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin;Peer-Review-Verfahren
2249;German Journal of Human Resource Management;Eingehende Beiträge werden anonymisiert und zweifach begutachtet
2296;Social Psychology;Manuskripte durchlaufen ein Peer-Review-Verfahren
2329;Forum Kriminalprävention;Herausgeberbegutachtung: Die Redaktion entscheidet darüber, ob, wann und ggf. mit welchen Auflagen ein Manuskript veröffentlicht wird.
2344;Kindesmisshandlung und -vernachlässigung;double blind - online am 21.5.24 keinen Hinweis gefunden (UW)
2360;Sonderpädagogische Förderung heute;Eingehende Beiträge werden in einem Peer-Review-Verfahren geprüft
2393;Journal of Media Psychology;Two or more reviewers will be requested to review the manuscript
2395;pm - perspektive mediation;"Die pm ist ein peer-reviewed Journal, die Aufsätze werden von der Redaktion und den Heftverantwortlichen gegengelesen. Die Letztentscheidung über die Publikation liegt bei den HerausgeberInnen."
2397;Zeitschrift für Erziehungswissenschaft;double-blind
2446;Journal of Information Literacy;Blindes Peer-Review-Verfahren
2471;Judgment and Decision Making;Submitted articles screened by an editor and is reviewed by the Consulting Editor and another reviewer. Publishes registered reports.
2472;Journal für Psychologie;single blind
2510;Attention, Perception, & Psychophysics;double-blind
2519;Mensch und Pferd international;Die Beiträge werden von mindestens zwei FachkollegInnen anonym begutachtet (Peer Review)
2520;Ärztliche Psychotherapie und Psychosomatische Medizin;Über die Annahme eines Beitrages entscheidet das Schriftleitergremium
2610;Teilhabe;Gegebenenfalls werden zur Mitentscheidung über Annahme des Manuskripts auch Mitglieder des Redaktionsbeirats oder weiterer fachlicher Rat herangezogen
2617;Journal of Personnel Psychology;Manuscripts are peer-reviewed by two or more reviewers
2626;GeroPsych;Manuskripte unterliegen einem Reviewprozess durch zwei oder mehr Gutachter, der Herausgeber entscheidet über Annahme oder Ablehnung
2639;Europe's Journal of Psychology;blind peer-review
2650;Psychological Test and Assessment Modeling;Manuskripte unterliegen einem doppelt verblindeten Reviewverfahren
2653;Empirische Sonderpädagogik;Manuskripte durchlaufen ein doppelblindes Peer-Review-Verfahren
2661;e-beratungsjournal;Alle eingereichten Artikel werden im Peer-Review-Verfahren begutachtet
2675;Methoden, Daten, Analysen;Alle Beiträge, die zur Veröffentlichung in der MDA eingereicht werden, werden von mindestens zwei unabhängigen Gutachtern blind begutachtet
2716;Psychology of Language and Communication;doubleblind
2764;Journal für Philosophie & Psychiatrie;Die eingereichten Manuskripte werden einem Peer-Review-Verfahren unterzogen
2845;Aviation Psychology and Applied Human Factors;Manuskripte durchlaufen ein Peer-Review-Verfahren
2866;International Journal of Conflict and Violence;The handling editor will seek advice from two or three external reviewers who are experts in the field addressed by the manuscript.
2883;Journal for the Scientific Study of Religion (JSSR);double-blind review process
2913;Konfliktdynamik;Manuskripte durchlaufen ein doppelt blindes Peer-Review-Verfahren
2930;Frühe Bildung;Eingereichte Manuskripte werden von einem zuständigen Herausgeber unter Heranziehung von in der Regel zwei externen Gutachten (Kurzberichte: 1 Gutachten) bearbeitet, die über Annahme, Ablehnung oder Revision entscheiden
2987;Personal quarterly;peer reviewed
3018;International Journal of Developmental Science;Peer Review (double blind)
3036;Journal for Labour Market Research;Eingereichte Forschungsbeiträge werden für Autoren anonym begutachtet
3071;Lernen und Lernstörungen;Das Begutachtungsverfahren ist doppelblind anonymisiert
3086;Praxis Sprache;Hauptbeiträge durchlaufen das beidseitig anonymisierte Peer-Review-Verfahren von mindestens zwei Gutachtern
3087;Psychotherapie-Wissenschaft;double blind
3118;Logos;Originalbeiträge werden von einem action editor aus dem HerausgeberInnengremium betreut und durchlaufen das beidseitig anonymisierte peer review-Verfahren
3127;Behavioral Sciences;iThenticate
3142;körper - tanz - bewegung;peer-reviewed
3182;Suchtmedizin;Jede eingereichte Arbeit wird von mindestens zwei qualifizierten Gutachtern geprüft
3238;Journal of European Psychology Students;Peer-Review
3275;SuchtMagazin;kein Peer-Review
3290;Psychoanalytische Familientherapie;double blind; bei Tagungsbeiträgen single blind
3291;Psychoanalyse & Körper;Herausgebergutachten
3292;TZI - Themenzentrierte Interaktion;Texte werden von einzelnen Redaktionsmitgliedern betreut; Redaktion entscheidet gemeinsam über Annahme oder Änderung eines Textes
3325;Zeitschrift für Psychologie;Artikel durchlaufen einen Peer-Review-Prozess
3446;Forschung Sprache;Hauptbeiträge durchlaufen das beidseitig anonymisierte Peer-Review-Verfahren von mindestens zwei Gutachtern
3457;Pflege & Gesellschaft;Peer-reviewed
3462;Psychotherapie;double blind
3549;Politische Psychologie;peer-reviewed
3582;Schweizer Archiv für Neurologie, Psychiatrie und Psychotherapie;Alle Manuskripte durchlaufen ein Peer-Review-Verfahren
3593;Interpersona (Online Journal);double blind review
3600;Journal of Numerical Cognition;double blind peer review
3609;Kinder- und Jugendlichen-Psychotherapie;Die Beiträge werden einem Peer-Review-Verfahren unterzogen
3627;Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie;Jedes eingereichte Manuskript durchläuft ein peer review Begutachtungsverfahren durch zwei unabhängige Reviewer
3663;Royal Society Open Science;open peer review
3703;JDDM - Journal of Dynamic Decision Making;blind review process
4853;Clinics and Practice;single-blind
3713;RPsych - Rechtspsychologie;Die Qualität der Beiträge wird durch ein doppelt-blindes Peer-Review-Verfahren abgesichert
3727;German Journal of Exercise and Sport Research;Alle Artikel der "Sportwissenschaft" unterliegen einem Begutachtungsprozess
3762;Klinische Pflegeforschung;Die Begutachtung von eingereichten Manuskripten erfolgt im offenen Begutachtungsverfahren (Open Peer Review) durch min. 2 Gutachter
3793;Ärztliche Psychotherapie;Über die Annahme eines Beitrages entscheidet das Schriftleitergremium
4856;Geriatrics;single-blind
3842;European Journal of Health Psychology;Alle Manuskripte durchlaufen ein Peer-Review-Verfahren
3936;BMC Psychology;Open peer review, transparent peer review, double-blind
4423;Cognitive Semiotics;peer-Review
4043;Praxis Schulpsychologie;kein peer review
4074;Jahrbuch Musikpsychologie;Forschungsberichte durchlaufen ein doppelblindes Peer-Review-Verfahren mit mehreren externen, fachkundigen Gutachtern
4078;Clinical Psychology in Europe;single blind review
4090;Leidfaden;double blind
4132;Meta-Psychology;open peer review
4158;Perspektiven der Empirischen Kinder- und Jugendforschung;alle eingereichten Beiträge durchlaufen ein Peer-Review aus drei Perspektiven (HerausgeberInnen, externe GutachterInnen, Teammitglieder des  "Zentrums für Kinder- und Jugendforschung", ZfKJ)
4168;Psychology Research;reviewed anonymously by at least two outside reviewers
4183;à jour! Psychotherapie-Berufsentwicklung;Herausgebergutachten
4194;jero - Journal for Educational Research Online;double blind
4219;Coaching | Theorie & Praxis;double-blind
4333;Social Psychological Bulletin;double-blind review system
4341;Applied Sciences;Peer-Review
4372;BMJ Supportive & Palliative Care;single blind
4393;Journal of Family Research;double blind
4395;Social Sciences;peer-review
4396;Adolescents;peer-review
4397;Clocks & Sleep;peer-reviewed
4398;Psych;peer-review
4399;Disabilities;peer-reviewed
4400;European Journal of Investigation in Health, Psychology and Education;peer-reviewed
4401;J;peer-reviewed
4403;Comprehensive Results in Social Psychology;based on initial editor screening and, by default, open (non-blind) refereeing by independent, expert referees
4439;Journal of Social Health and Diabetes;Peer review (single blind)
4442;Digital Psychology;doppelblindes Peer-Review
4468;KrimOJ - Kriminologie - Das Online-Journal;double blind Peer-Review-Verfahren
4570;ZfPFI - Zeitschrift für freie psychoanalytische Forschung und Individualpsychologie;double blind
4571;Forum Gemeindepsychologie;peer review
4647;Jahrbuch der Psychoanalyse;peer-review
4685;AREA Open;Peer-Review
4728;Education Sciences;double blind
4776;Measurement Instruments for the Social Sciences;Ensuring Double-Anonymized (Masked) Peer-Review
4912;Trauma - Kultur - Gesellschaft;Herausgebergutachten
4949;Open Psychology;singel-blind
5031;Journal of Medical Psychology;Peer-Review (single blind)
5047;Environmental Psychology Open;peer-review
5067;Journal of Sexual Health Psychology;double blind peer review
5081;Proceedings of the ACM on Human-Computer Interaction;peer-review
